501,1,New York,7391940,,,,,,
803,2,Los Angeles,5647440,,,,,,
602,3,Chicago,3469110,,,,,,
504,4,Philadelphia,2939950,,,,,,
623,5,Dallas-Ft. Worth,2435600,,,,,,
807,6,San Francisco-Oak-San Jose,2419440,,,,,,
506,7,Boston (Manchester),2393960,,,,,,
524,8,Atlanta,2310490,,,,,,
511,9,"Washington, DC (Hagrstwn)",2308290,,,,,,
618,10,Houston,2050550,,,,,,
505,11,Detroit,1925460,,,,,,
753,12,Phoenix (Prescott),1802550,,,,,,
539,13,Tampa-St. Pete (Sarasota),1783910,,,,,,
819,14,Seattle-Tacoma,1782040,,,,,,
613,15,Minneapolis-St. Paul,1706740,,,,,,
528,16,Miami-Ft. Lauderdale,1536020,,,,,,
510,17,Cleveland-Akron (Canton),1533710,,,,,,
751,18,Denver,1477280,,,,,,
534,19,Orlando-Daytona Bch-Melbrn,1434050,,,,,,
862,20,Sacramnto-Stkton-Modesto,1391790,,,,,,
609,21,St. Louis,1244370,,,,,,
508,22,Pittsburgh,1158210,,,,,,
820,23,"Portland, OR",1150320,,,,,,
512,24,Baltimore,1095490,,,,,,
517,25,Charlotte,1085640,,,,,,
527,26,Indianapolis,1072090,,,,,,
825,27,San Diego,1051210,,,,,,
560,28,Raleigh-Durham (Fayetvlle),1039890,,,,,,
533,29,Hartford & New Haven,1007490,,,,,,
659,30,Nashville,966170,,,,,,
616,31,Kansas City,927060,,,,,,
535,32,"Columbus, OH",905690,,,,,,
515,33,Cincinnati,904340,,,,,,
617,34,Milwaukee,891010,,,,,,
770,35,Salt Lake City,874650,,,,,,
567,36,Greenvll-Spart-Ashevll-And,838270,,,,,,
641,37,San Antonio,792440,,,,,,
548,38,West Palm Beach-Ft. Pierce,775340,,,,,,
563,39,Grand Rapids-Kalmzoo-B.Crk,739640,,,,,,
630,40,"Birmingham (Ann, Tusc)",730430,,,,,,
566,41,Harrisburg-Lncstr-Leb-York,723620,,,,,,
544,42,Norfolk-Portsmth-Newpt Nws,717440,,,,,,
839,43,Las Vegas,707470,,,,,,
790,44,Albuquerque-Santa Fe,677740,,,,,,
650,45,Oklahoma City,676850,,,,,,
518,46,Greensboro-H.Point-W.Salem,671980,,,,,,
640,47,Memphis,667890,,,,,,
529,48,Louisville,657180,,,,,,
561,49,Jacksonville,655470,,,,,,
514,50,Buffalo,636700,,,,,,
635,51,Austin,635860,,,,,,
521,52,Providence-New Bedford,626800,,,,,,
622,53,New Orleans,600150,,,,,,
577,54,Wilkes Barre-Scranton,592310,,,,,,
866,55,Fresno-Visalia,568730,,,,,,
532,56,Albany-Schenectady-Troy,553790,,,,,,
693,57,Little Rock-Pine Bluff,552400,,,,,,
557,58,Knoxville,534410,,,,,,
556,59,Richmond-Petersburg,526760,,,,,,
671,60,Tulsa,519820,,,,,,
686,61,Mobile-Pensacola (Ft Walt),517410,,,,,,
542,62,Dayton,511220,,,,,,
571,63,Ft. Myers-Naples,491760,,,,,,
541,64,Lexington,490530,,,,,,
564,65,Charleston-Huntington,476680,,,,,,
513,66,Flint-Saginaw-Bay City,469980,,,,,,
573,67,Roanoke-Lynchburg,451580,,,,,,
789,68,Tucson (Sierra Vista),446550,,,,,,
678,69,Wichita-Hutchinson Plus,446520,,,,,,
658,70,Green Bay-Appleton,439940,,,,,,
679,71,Des Moines-Ames,425760,,,,,,
547,72,Toledo,424670,,,,,,
744,73,Honolulu,424010,,,,,,
619,74,"Springfield, MO",410930,,,,,,
652,75,Omaha,407700,,,,,,
500,76,Portland-Auburn,407560,,,,,,
881,77,Spokane,403820,,,,,,
538,78,"Rochester, NY",392420,,,,,,
632,79,Paducah-Cape Girard-Harsbg,390130,,,,,,
555,80,Syracuse,386380,,,,,,
546,81,"Columbia, SC",384060,,,,,,
612,82,Shreveport,383610,,,,,,
691,83,Huntsville-Decatur (Flor),382790,,,,,,
648,84,Champaign&Sprngfld-Decatur,378870,,,,,,
669,85,Madison,372990,,,,,,
575,86,Chattanooga,353680,,,,,,
637,87,Cedar Rapids-Wtrlo-IWC&Dub,339480,,,,,,
636,88,Harlingen-Wslco-Brnsvl-McA,338550,,,,,,
588,89,South Bend-Elkhart,337870,,,,,,
718,90,"Jackson, MS",334200,,,,,,
531,91,"Tri-Cities, TN-VA",328970,,,,,,
523,92,Burlington-Plattsburgh,328050,,,,,,
752,93,Colorado Springs-Pueblo,326380,,,,,,
716,94,Baton Rouge,317550,,,,,,
625,95,Waco-Temple-Bryan,315900,,,,,,
682,96,Davenport-R.Island-Moline,308950,,,,,,
507,97,Savannah,306680,,,,,,
765,98,El Paso (Las Cruces),302470,,,,,,
574,99,Johnstown-Altoona-St Colge,295180,,,,,,
519,100,"Charleston, SC",294230,,,,,,
649,101,Evansville,290060,,,,,,
670,102,Ft. Smith-Fay-Sprngdl-Rgrs,289080,,,,,,
570,103,Myrtle Beach-Florence,279820,,,,,,
722,104,Lincoln & Hastings-Krny,277270,,,,,,
545,105,Greenville-N.Bern-Washngtn,276020,,,,,,
536,106,Youngstown,273480,,,,,,
509,107,Ft. Wayne,273240,,,,,,
530,108,Tallahassee-Thomasville,267850,,,,,,
543,109,Springfield-Holyoke,263520,,,,,,
811,110,Reno,263060,,,,,,
709,111,Tyler-Longview(Lfkn&Ncgd),260800,,,,,,
551,112,Lansing,255040,,,,,,
757,113,Boise,251920,,,,,,
725,114,Sioux Falls(Mitchell),251000,,,,,,
520,115,Augusta,250790,,,,,,
540,116,Traverse City-Cadillac,247690,,,,,,
675,117,Peoria-Bloomington,243640,,,,,,
698,118,Montgomery-Selma,243200,,,,,,
724,119,Fargo-Valley City,237140,,,,,,
801,120,Eugene,235750,,,,,,
503,121,Macon,234690,,,,,,
